-0.371778	0.474498	2234
-0.489578	0.470919	1489
-0.286457	0.44434	953
0.181908	0.443721	1381
0.243539	0.405007	716
-0.266868	0.351747	926
0.372475	0.349989	2269
0.191438	0.349055	3823
0.265683	0.342411	2134
-0.138123	0.329589	4116
-0.292918	0.272503	1055
-0.255371	0.236394	3969
-0.454552	0.18261	3705
-0.471018	-0.0234243	4398
-0.45929	-0.15576	2933
0.418204	-0.182122	2152
0.197925	-0.208836	5100
0.431143	-0.255468	1948
-0.160362	-0.259289	4981
0.0196043	-0.26762	2933
0.15359	-0.294478	1362
-0.0675008	-0.300194	859
0.101721	-0.398713	1339
-0.0588326	-0.399211	712
0.385337	-0.414144	1019
0.383122	-0.423355	113
-0.107846	-0.439676	932
0.355058	-0.442424	1045
0.0274982	-0.47483	1701
0.385093	-0.479277	615
-0.177703	-0.483003	1666
0.450283	-0.489742	958
