# linedensity[i]	correlation[i]/1024	correlation_fftw[i]	FourierComp_fftw[i]
-0.422889	-0.340728	-0.340728	7.13837
-0.569912	-0.322148	-0.322148	2.39311
-0.666948	-0.298041	-0.298041	0.617171
-0.75988	-0.269415	-0.269415	7.15315
-0.775425	-0.236257	-0.236257	1.50849
-0.769943	-0.199257	-0.199257	0.0923108
-0.76362	-0.159388	-0.159388	2.33184
-0.810332	-0.117078	-0.117078	23.3534
-0.841728	-0.0726182	-0.0726182	0.545047
-0.850117	-0.0273386	-0.0273386	6.03144
-0.871206	0.0185885	0.0185885	4.05791
-0.834299	0.0638187	0.0638187	1.85814
-0.784506	0.108571	0.108571	12.8473
-0.721585	0.151285	0.151285	3.2263
-0.712974	0.19172	0.19172	0.925312
-0.561951	0.228911	0.228911	1.06184
-0.581421	0.262576	0.262576	4.09729
-0.419596	0.292456	0.292456	1.81421
-0.419224	0.31748	0.31748	0.792716
-0.166444	0.337564	0.337564	5.23811
-0.132769	0.352468	0.352468	1.7407
0.164042	0.362155	0.362155	2.24889
0.137041	0.366538	0.366538	5.26202
0.387055	0.364718	0.364718	9.36267
0.382635	0.357664	0.357664	0.806352
0.541292	0.345611	0.345611	8.71091
0.657432	0.328061	0.328061	7.24509
0.806838	0.305496	0.305496	6.52942
0.824826	0.278541	0.278541	0.346428
0.992715	0.247697	0.247697	1.93239
1.03378	0.213176	0.213176	14.7207
1.01025	0.175839	0.175839	27.1801
1.03055	0.135927	0.135927	1.11527
1.00764	0.0949336	0.0949336	2.92529
1.08195	0.0519978	0.0519978	14.8187
1.07821	0.00907451	0.00907451	1.65092
1.10345	-0.0336315	-0.0336315	1.80783
1.01631	-0.0750403	-0.0750403	0.540588
0.900564	-0.115131	-0.115131	1.90367
0.899314	-0.152835	-0.152835	1.5786
0.801556	-0.188006	-0.188006	10.2525
0.646916	-0.219917	-0.219917	1.58468
0.652743	-0.247483	-0.247483	6.53147
0.438619	-0.271002	-0.271002	1.0144
0.473334	-0.290278	-0.290278	1.48884
0.217212	-0.304333	-0.304333	15.6945
0.0492455	-0.313286	-0.313286	8.21168
-0.0257098	-0.317314	-0.317314	8.10382
-0.0466808	-0.316102	-0.316102	1.42398
-0.337023	-0.309916	-0.309916	6.7329
-0.417831	-0.298215	-0.298215	7.98376
-0.307864	-0.282607	-0.282607	0.593207
-0.507799	-0.261539	-0.261539	0.127577
-0.750141	-0.236872	-0.236872	2.17721
-0.751273	-0.207999	-0.207999	1.13866
-0.859476	-0.176314	-0.176314	1.21944
-0.836719	-0.141751	-0.141751	14.2458
-0.84835	-0.10511	-0.10511	5.6571
-0.961032	-0.0664434	-0.0664434	5.31392
-0.801785	-0.0270337	-0.0270337	6.60737
-0.83469	0.0130092	0.0130092	1.69867
-0.942819	0.0523325	0.0523325	0.653843
-0.866549	0.0915387	0.0915387	4.15941
-0.788642	0.128464	0.128464	16.8922
-0.670718	0.1637	0.1637	6.73997
